month,year,result,time 
10,10,2013,67,1
10,09,2013,45,1
10,08,2013,52,1
10,07,2013,83,1
10,06,2013,45,1
10,05,2013,90,1
10,04,2013,87,1
10,03,2013,95,1
10,02,2013,36,1
10,01,2013,83,1
9,30,2013,19,1
9,29,2013,68,1
9,28,2013,36,1
9,27,2013,42,1
9,26,2013,16,1
9,25,2013,68,1
9,24,2013,87,1
9,23,2013,49,1
9,22,2013,93,1
9,21,2013,29,1
9,20,2013,51,1
9,19,2013,45,1
9,18,2013,85,1
9,17,2013,08,1
9,16,2013,67,1
9,15,2013,76,1
9,14,2013,79,1
9,13,2013,72,1
9,12,2013,73,1
9,11,2013,85,1
9,10,2013,62,1
9,09,2013,52,1
9,08,2013,67,1
9,07,2013,91,1
9,06,2013,00,1
9,05,2013,09,1
9,04,2013,84,1
9,03,2013,69,1
9,02,2013,57,1
9,01,2013,17,1
8,31,2013,28,1
8,30,2013,79,1
8,29,2013,35,1
8,28,2013,30,1
8,27,2013,54,1
8,26,2013,37,1
8,25,2013,80,1
8,24,2013,08,1
8,23,2013,46,1
8,22,2013,85,1
8,21,2013,82,1
8,20,2013,05,1
8,19,2013,32,1
8,18,2013,88,1
8,17,2013,79,1
8,16,2013,18,1
8,15,2013,45,1
8,14,2013,49,1
8,13,2013,52,1
8,12,2013,45,1
8,11,2013,39,1
8,10,2013,32,1
8,09,2013,73,1
8,08,2013,01,1
8,07,2013,98,1
8,06,2013,22,1
8,05,2013,64,1
8,04,2013,53,1
8,03,2013,63,1
8,02,2013,78,1
8,01,2013,75,1
7,31,2013,42,1
7,30,2013,78,1
7,29,2013,17,1
7,28,2013,15,1
7,27,2013,06,1
7,26,2013,05,1
7,25,2013,51,1
7,24,2013,33,1
7,23,2013,44,1
7,22,2013,21,1
7,21,2013,09,1
7,20,2013,76,1
7,19,2013,17,1
7,18,2013,07,1
7,17,2013,59,1
7,16,2013,61,1
7,15,2013,36,1
7,14,2013,31,1
7,13,2013,44,1
7,12,2013,69,1
7,11,2013,40,1
7,10,2013,87,1
7,09,2013,83,1
7,08,2013,89,1
7,07,2013,12,1
7,06,2013,49,1
7,05,2013,66,1
7,04,2013,85,1
7,03,2013,57,1
7,02,2013,45,1
7,01,2013,49,1
6,30,2013,11,1
6,29,2013,84,1
6,28,2013,87,1
6,27,2013,96,1
6,26,2013,52,1
6,25,2013,56,1
6,24,2013,14,1
6,23,2013,78,1
6,22,2013,66,1
6,21,2013,88,1
6,20,2013,29,1
6,19,2013,75,1
6,18,2013,55,1
6,17,2013,47,1
6,16,2013,55,1
6,15,2013,52,1
6,14,2013,48,1
6,13,2013,41,1
6,12,2013,39,1
6,11,2013,68,1
6,10,2013,57,1
6,09,2013,41,1
6,08,2013,80,1
6,07,2013,68,1
6,06,2013,31,1
6,05,2013,36,1
6,04,2013,48,1
6,03,2013,20,1
6,02,2013,48,1
6,01,2013,44,1
5,31,2013,70,1
5,30,2013,37,1
5,29,2013,44,1
5,28,2013,67,1
5,27,2013,66,1
5,26,2013,04,1
5,25,2013,56,1
5,24,2013,95,1
5,23,2013,82,1
5,22,2013,19,1
5,21,2013,29,1
5,20,2013,78,1
5,19,2013,71,1
5,18,2013,78,1
5,17,2013,60,1
5,16,2013,13,1
5,15,2013,42,1
5,14,2013,43,1
5,13,2013,30,1
5,12,2013,98,1
5,11,2013,38,1
5,10,2013,45,1
5,09,2013,04,1
5,08,2013,85,1
5,07,2013,17,1
5,06,2013,04,1
5,05,2013,55,1
5,04,2013,73,1
5,03,2013,65,1
5,02,2013,17,1
5,01,2013,11,1
4,30,2013,54,1
4,29,2013,12,1
4,28,2013,99,1
4,27,2013,87,1
4,26,2013,85,1
4,25,2013,30,1
4,24,2013,49,1
4,23,2013,95,1
4,22,2013,73,1
4,21,2013,80,1
4,20,2013,51,1
4,19,2013,48,1
4,18,2013,31,1
4,17,2013,38,1
4,16,2013,55,1
4,15,2013,32,1
4,14,2013,77,1
4,13,2013,46,1
4,12,2013,97,1
4,11,2013,04,1
4,10,2013,96,1
4,09,2013,80,1
4,08,2013,49,1
4,07,2013,53,1
4,06,2013,22,1
4,05,2013,83,1
4,04,2013,39,1
4,03,2013,63,1
4,02,2013,94,1
4,01,2013,85,1
3,31,2013,63,1
3,30,2013,50,1
3,29,2013,86,1
3,28,2013,66,1
3,27,2013,94,1
3,26,2013,87,1
3,25,2013,43,1
3,24,2013,75,1
3,23,2013,67,1
3,22,2013,51,1
3,21,2013,14,1
3,20,2013,76,1
3,19,2013,32,1
3,18,2013,53,1
3,17,2013,29,1
3,16,2013,31,1
3,15,2013,71,1
3,14,2013,34,1
3,13,2013,28,1
3,12,2013,79,1
3,11,2013,14,1
3,10,2013,26,1
3,09,2013,63,1
3,08,2013,22,1
3,07,2013,26,1
3,06,2013,96,1
3,05,2013,44,1
3,04,2013,68,1
3,03,2013,90,1
3,02,2013,14,1
3,01,2013,95,1
2,28,2013,58,1
2,27,2013,05,1
2,26,2013,55,1
2,25,2013,66,1
2,24,2013,59,1
2,23,2013,32,1
2,22,2013,73,1
2,21,2013,34,1
2,20,2013,09,1
2,19,2013,78,1
2,18,2013,12,1
2,17,2013,54,1
2,16,2013,66,1
2,15,2013,50,1
2,14,2013,25,1
2,13,2013,77,1
2,12,2013,33,1
2,11,2013,42,1
2,10,2013,51,1
2,09,2013,12,1
2,08,2013,07,1
2,07,2013,38,1
2,06,2013,14,1
2,05,2013,10,1
2,04,2013,88,1
2,03,2013,44,1
2,02,2013,74,1
2,01,2013,86,1
1,31,2013,90,1
1,30,2013,34,1
1,29,2013,24,1
1,28,2013,49,1
1,27,2013,61,1
1,26,2013,74,1
1,25,2013,01,1
1,24,2013,69,1
1,23,2013,82,1
1,22,2013,44,1
1,21,2013,06,1
1,20,2013,53,1
1,19,2013,60,1
1,18,2013,15,1
1,17,2013,49,1
1,16,2013,01,1
1,15,2013,34,1
1,14,2013,23,1
1,13,2013,73,1
1,12,2013,96,1
1,11,2013,46,1
1,10,2013,00,1
1,09,2013,11,1
1,08,2013,88,1
1,07,2013,33,1
1,06,2013,59,1
1,05,2013,36,1
1,04,2013,41,1
1,03,2013,09,1
1,02,2013,99,1
1,01,2013,40,1
12,31,2014,14,1
12,30,2014,55,1
12,29,2014,18,1
12,28,2014,04,1
12,27,2014,68,1
12,26,2014,17,1
12,25,2014,10,1
12,24,2014,98,1
12,23,2014,44,1
12,22,2014,92,1
12,21,2014,01,1
12,20,2014,28,1
12,19,2014,18,1
12,18,2014,56,1
12,17,2014,85,1
12,16,2014,65,1
12,15,2014,92,1
12,14,2014,03,1
12,13,2014,12,1
12,12,2014,31,1
12,11,2014,92,1
12,10,2014,12,1
12,09,2014,30,1
12,08,2014,79,1
12,07,2014,54,1
12,06,2014,57,1
12,05,2014,04,1
12,04,2014,47,1
12,03,2014,23,1
12,02,2014,16,1
12,01,2014,51,1
11,30,2014,49,1
11,29,2014,05,1
11,28,2014,51,1
11,27,2014,24,1
11,26,2014,88,1
11,25,2014,58,1
11,24,2014,43,1
11,23,2014,96,1
11,22,2014,46,1
11,21,2014,37,1
11,20,2014,72,1
11,19,2014,00,1
11,18,2014,25,1
11,17,2014,39,1
11,16,2014,59,1
11,15,2014,88,1
11,14,2014,85,1
11,13,2014,29,1
11,12,2014,62,1
11,11,2014,05,1
11,10,2014,42,1
11,09,2014,03,1
11,08,2014,77,1
11,07,2014,83,1
11,06,2014,40,1
11,05,2014,90,1
11,04,2014,55,1
11,03,2014,92,1
11,02,2014,01,1
11,01,2014,23,1
10,31,2014,25,1
10,30,2014,37,1
10,29,2014,81,1
10,28,2014,77,1
10,27,2014,04,1
10,26,2014,25,1
10,25,2014,19,1
10,24,2014,18,1
10,23,2014,45,1
10,22,2014,19,1
10,21,2014,11,1
10,20,2014,64,1
10,19,2014,82,1
10,18,2014,83,1
10,17,2014,39,1
10,16,2014,58,1
10,15,2014,58,1
10,14,2014,48,1
10,13,2014,05,1
10,12,2014,17,1
10,11,2014,12,1
10,10,2014,34,1
10,09,2014,04,1
10,08,2014,02,1
10,07,2014,83,1
10,06,2014,81,1
10,05,2014,85,1
10,04,2014,79,1
10,03,2014,76,1
10,02,2014,50,1
10,01,2014,31,1
9,30,2014,60,1
9,29,2014,69,1
9,28,2014,78,1
9,27,2014,65,1
9,26,2014,60,1
9,25,2014,58,1
9,24,2014,96,1
9,23,2014,86,1
9,22,2014,01,1
9,21,2014,49,1
9,20,2014,78,1
9,19,2014,53,1
9,18,2014,49,1
9,17,2014,68,1
9,16,2014,32,1
9,15,2014,87,1
9,14,2014,86,1
9,13,2014,48,1
9,12,2014,56,1
9,11,2014,30,1
9,10,2014,77,1
9,09,2014,48,1
9,08,2014,98,1
9,07,2014,84,1
9,06,2014,34,1
9,05,2014,36,1
9,04,2014,10,1
9,03,2014,53,1
9,02,2014,53,1
9,01,2014,08,1
8,31,2014,50,1
8,30,2014,64,1
8,29,2014,61,1
8,28,2014,47,1
8,27,2014,76,1
8,26,2014,42,1
8,25,2014,54,1
8,24,2014,09,1
8,23,2014,38,1
8,22,2014,37,1
8,21,2014,14,1
8,20,2014,21,1
8,19,2014,03,1
8,18,2014,67,1
8,17,2014,31,1
8,16,2014,95,1
8,15,2014,01,1
8,14,2014,18,1
8,13,2014,22,1
8,12,2014,31,1
8,11,2014,69,1
8,10,2014,37,1
8,09,2014,29,1
8,08,2014,33,1
8,07,2014,73,1
8,06,2014,82,1
8,05,2014,72,1
8,04,2014,73,1
8,03,2014,93,1
8,02,2014,11,1
8,01,2014,01,1
7,31,2014,96,1
7,30,2014,50,1
7,29,2014,59,1
7,28,2014,52,1
7,27,2014,81,1
7,26,2014,22,1
7,25,2014,65,1
7,24,2014,36,1
7,23,2014,33,1
7,22,2014,62,1
7,21,2014,21,1
7,20,2014,30,1
7,19,2014,08,1
7,18,2014,31,1
7,17,2014,45,1
7,16,2014,57,1
7,15,2014,80,1
7,14,2014,07,1
7,13,2014,70,1
7,12,2014,96,1
7,11,2014,43,1
7,10,2014,39,1
7,09,2014,48,1
7,08,2014,44,1
7,07,2014,26,1
7,06,2014,38,1
7,05,2014,76,1
7,04,2014,50,1
7,03,2014,26,1
7,02,2014,43,1
7,01,2014,31,1
6,30,2014,96,1
6,29,2014,90,1
6,28,2014,23,1
6,27,2014,68,1
6,26,2014,22,1
6,25,2014,43,1
6,24,2014,40,1
6,23,2014,15,1
6,22,2014,52,1
6,21,2014,06,1
6,20,2014,53,1
6,19,2014,21,1
6,18,2014,03,1
6,17,2014,21,1
6,16,2014,11,1
6,15,2014,18,1
6,14,2014,08,1
6,13,2014,56,1
6,12,2014,03,1
6,11,2014,21,1
6,10,2014,55,1
6,09,2014,00,1
6,08,2014,00,1
6,07,2014,28,1
6,06,2014,30,1
6,05,2014,81,1
6,04,2014,58,1
6,03,2014,92,1
6,02,2014,09,1
6,01,2014,04,1
5,31,2014,83,1
5,30,2014,21,1
5,29,2014,53,1
5,28,2014,70,1
5,27,2014,44,1
5,26,2014,25,1
5,25,2014,92,1
5,24,2014,29,1
5,23,2014,14,1
5,22,2014,25,1
5,21,2014,12,1
5,20,2014,85,1
5,19,2014,75,1
5,18,2014,20,1
5,17,2014,86,1
5,16,2014,55,1
5,15,2014,54,1
5,14,2014,66,1
5,13,2014,84,1
5,12,2014,48,1
5,11,2014,78,1
5,10,2014,82,1
5,09,2014,82,1
5,08,2014,99,1
5,07,2014,23,1
5,06,2014,88,1
5,05,2014,27,1
5,04,2014,72,1
5,03,2014,21,1
5,02,2014,46,1
5,01,2014,68,1
4,30,2014,38,1
4,29,2014,48,1
4,28,2014,10,1
4,27,2014,84,1
4,26,2014,45,1
4,25,2014,20,1
4,24,2014,43,1
4,23,2014,04,1
4,22,2014,13,1
4,21,2014,97,1
4,20,2014,25,1
4,19,2014,70,1
4,18,2014,87,1
4,17,2014,54,1
4,16,2014,38,1
4,15,2014,42,1
4,14,2014,61,1
4,13,2014,11,1
4,12,2014,57,1
4,11,2014,59,1
4,10,2014,91,1
4,09,2014,18,1
4,08,2014,96,1
4,07,2014,57,1
4,06,2014,64,1
4,05,2014,48,1
4,04,2014,44,1
4,03,2014,78,1
4,02,2014,48,1
4,01,2014,79,1
3,31,2014,70,1
3,30,2014,82,1
3,29,2014,49,1
3,28,2014,84,1
3,27,2014,88,1
3,26,2014,94,1
3,25,2014,89,1
3,24,2014,14,1
3,23,2014,04,1
3,22,2014,76,1
3,21,2014,28,1
3,20,2014,70,1
3,19,2014,51,1
3,18,2014,30,1
3,17,2014,25,1
3,16,2014,72,1
3,15,2014,38,1
3,14,2014,43,1
3,13,2014,88,1
3,12,2014,43,1
3,11,2014,20,1
3,10,2014,47,1
3,09,2014,00,1
3,08,2014,29,1
3,07,2014,49,1
3,06,2014,12,1
3,05,2014,59,1
3,04,2014,19,1
3,03,2014,70,1
3,02,2014,90,1
3,01,2014,09,1
2,28,2014,42,1
2,27,2014,34,1
2,26,2014,04,1
2,25,2014,42,1
2,24,2014,78,1
2,23,2014,88,1
2,22,2014,70,1
2,21,2014,07,1
2,20,2014,48,1
2,19,2014,10,1
2,18,2014,73,1
2,17,2014,40,1
2,16,2014,23,1
2,15,2014,16,1
2,14,2014,84,1
2,13,2014,44,1
2,12,2014,44,1
2,11,2014,19,1
2,10,2014,44,1
2,09,2014,98,1
2,08,2014,55,1
2,07,2014,51,1
2,06,2014,05,1
2,05,2014,62,1
2,04,2014,93,1
2,03,2014,28,1
2,02,2014,76,1
2,01,2014,46,1
1,31,2014,11,1
1,30,2014,93,1
1,29,2014,80,1
1,28,2014,89,1
1,27,2014,24,1
1,26,2014,59,1
1,25,2014,25,1
1,24,2014,36,1
1,23,2014,05,1
1,22,2014,16,1
1,21,2014,95,1
1,20,2014,42,1
1,19,2014,72,1
1,18,2014,54,1
1,17,2014,75,1
1,16,2014,12,1
1,15,2014,45,1
1,14,2014,52,1
1,13,2014,65,1
1,12,2014,96,1
1,11,2014,51,1
1,10,2014,05,1
1,09,2014,56,1
1,08,2014,93,1
1,07,2014,85,1
1,06,2014,57,1
1,05,2014,85,1
1,04,2014,82,1
1,03,2014,11,1
1,02,2014,64,1
1,01,2014,14,1
12,31,2015,44,1
12,30,2015,10,1
12,29,2015,97,1
12,28,2015,86,1
12,27,2015,00,1
12,26,2015,23,1
12,25,2015,50,1
12,24,2015,99,1
12,23,2015,43,1
12,22,2015,41,1
12,21,2015,31,1
12,20,2015,48,1
12,19,2015,54,1
12,18,2015,95,1
12,17,2015,32,1
12,16,2015,40,1
12,15,2015,59,1
12,14,2015,32,1
12,13,2015,96,1
12,12,2015,82,1
12,11,2015,67,1
12,10,2015,61,1
12,09,2015,41,1
12,08,2015,24,1
12,07,2015,34,1
12,06,2015,36,1
12,05,2015,24,1
12,04,2015,14,1
12,03,2015,25,1
12,02,2015,08,1
12,01,2015,05,1
11,30,2015,87,1
11,29,2015,17,1
11,28,2015,71,1
11,27,2015,68,1
11,26,2015,82,1
11,25,2015,94,1
11,24,2015,46,1
11,23,2015,23,1
11,22,2015,89,1
11,21,2015,61,1
11,20,2015,63,1
11,19,2015,10,1
11,18,2015,63,1
11,17,2015,42,1
11,16,2015,54,1
11,15,2015,89,1
11,14,2015,84,1
11,13,2015,78,1
11,12,2015,20,1
11,11,2015,91,1
11,10,2015,54,1
11,09,2015,28,1
11,08,2015,20,1
11,07,2015,19,1
11,06,2015,80,1
11,05,2015,19,1
11,04,2015,89,1
11,03,2015,28,1
11,02,2015,00,1
11,01,2015,37,1
10,31,2015,56,1
10,30,2015,22,1
10,29,2015,19,1
10,28,2015,56,1
10,27,2015,06,1
10,26,2015,65,1
10,25,2015,51,1
10,24,2015,10,1
10,23,2015,75,1
10,22,2015,68,1
10,21,2015,25,1
10,20,2015,05,1
10,19,2015,71,1
10,18,2015,53,1
10,17,2015,83,1
10,16,2015,81,1
10,15,2015,92,1
10,14,2015,89,1
10,13,2015,36,1
10,12,2015,52,1
10,11,2015,32,1
10,10,2015,34,1
10,09,2015,20,1
10,08,2015,28,1
10,07,2015,34,1
10,06,2015,83,1
10,05,2015,32,1
10,04,2015,90,1
10,03,2015,14,1
10,02,2015,17,1
10,01,2015,43,1
9,30,2015,52,1
9,29,2015,90,1
9,28,2015,51,1
9,27,2015,18,1
9,26,2015,97,1
9,25,2015,20,1
9,24,2015,47,1
9,23,2015,28,1
9,22,2015,92,1
9,21,2015,96,1
9,20,2015,03,1
9,19,2015,37,1
9,18,2015,42,1
9,17,2015,44,1
9,16,2015,73,1
9,15,2015,52,1
9,14,2015,87,1
9,13,2015,72,1
9,12,2015,20,1
9,11,2015,45,1
9,10,2015,38,1
9,09,2015,25,1
9,08,2015,66,1
9,07,2015,85,1
9,06,2015,90,1
9,05,2015,27,1
9,04,2015,93,1
9,03,2015,21,1
9,02,2015,95,1
9,01,2015,91,1
8,31,2015,98,1
8,30,2015,23,1
8,29,2015,88,1
8,28,2015,46,1
8,27,2015,16,1
8,26,2015,99,1
8,25,2015,43,1
8,24,2015,66,1
8,23,2015,14,1
8,22,2015,86,1
8,21,2015,17,1
8,20,2015,81,1
8,19,2015,87,1
8,18,2015,06,1
8,17,2015,56,1
8,16,2015,74,1
8,15,2015,04,1
8,14,2015,04,1
8,13,2015,34,1
8,12,2015,26,1
8,11,2015,00,1
8,10,2015,61,1
8,09,2015,98,1
8,08,2015,07,1
8,07,2015,10,1
8,06,2015,02,1
8,05,2015,79,1
8,04,2015,61,1
8,03,2015,05,1
8,02,2015,81,1
8,01,2015,78,1
7,31,2015,16,1
7,30,2015,39,1
7,29,2015,51,1
7,28,2015,83,1
7,27,2015,64,1
7,26,2015,12,1
7,25,2015,77,1
7,24,2015,79,1
7,23,2015,40,1
7,22,2015,80,1
7,21,2015,33,1
7,20,2015,78,1
7,19,2015,87,1
7,18,2015,71,1
7,17,2015,83,1
7,16,2015,98,1
7,15,2015,86,1
7,14,2015,08,1
7,13,2015,47,1
7,12,2015,98,1
7,11,2015,74,1
7,10,2015,06,1
7,09,2015,34,1
7,08,2015,06,1
7,07,2015,32,1
7,06,2015,84,1
7,05,2015,39,1
7,04,2015,93,1
7,03,2015,59,1
7,02,2015,05,1
7,01,2015,92,1
6,30,2015,55,1
6,29,2015,88,1
6,28,2015,82,1
6,27,2015,07,1
6,26,2015,64,1
6,25,2015,41,1
6,24,2015,14,1
6,23,2015,74,1
6,22,2015,61,1
6,21,2015,55,1
6,20,2015,30,1
6,19,2015,88,1
6,18,2015,16,1
6,17,2015,94,1
6,16,2015,47,1
6,15,2015,34,1
6,14,2015,08,1
6,13,2015,34,1
6,12,2015,47,1
6,11,2015,02,1
6,10,2015,14,1
6,09,2015,30,1
6,08,2015,98,1
6,07,2015,12,1
6,06,2015,97,1
6,05,2015,36,1
6,04,2015,53,1
6,03,2015,08,1
6,02,2015,93,1
6,01,2015,32,1
5,31,2015,19,1
5,30,2015,13,1
5,29,2015,21,1
5,28,2015,55,1
5,27,2015,93,1
5,26,2015,57,1
5,25,2015,13,1
5,24,2015,79,1
5,23,2015,53,1
5,22,2015,97,1
5,21,2015,73,1
5,20,2015,22,1
5,19,2015,64,1
5,18,2015,67,1
5,17,2015,19,1
5,16,2015,07,1
5,15,2015,99,1
5,14,2015,63,1
5,13,2015,61,1
5,12,2015,59,1
5,11,2015,04,1
5,10,2015,44,1
5,09,2015,15,1
5,08,2015,79,1
5,07,2015,75,1
5,06,2015,58,1
5,05,2015,65,1
5,04,2015,78,1
5,03,2015,79,1
5,02,2015,72,1
5,01,2015,40,1
4,30,2015,78,1
4,29,2015,03,1
4,28,2015,09,1
4,27,2015,34,1
4,26,2015,50,1
4,25,2015,34,1
4,24,2015,19,1
4,23,2015,58,1
4,22,2015,59,1
4,21,2015,11,1
4,20,2015,11,1
4,19,2015,09,1
4,18,2015,15,1
4,17,2015,87,1
4,16,2015,07,1
4,15,2015,55,1
4,14,2015,75,1
4,13,2015,79,1
4,12,2015,15,1
4,11,2015,51,1
4,10,2015,22,1
4,09,2015,91,1
4,08,2015,66,1
4,07,2015,71,1
4,06,2015,99,1
4,05,2015,66,1
4,04,2015,13,1
4,03,2015,57,1
4,02,2015,73,1
4,01,2015,65,1
3,31,2015,69,1
3,30,2015,51,1
3,29,2015,36,1
3,28,2015,63,1
3,27,2015,74,1
3,26,2015,67,1
3,25,2015,25,1
3,24,2015,45,1
3,23,2015,48,1
3,22,2015,91,1
3,21,2015,21,1
3,20,2015,20,1
3,19,2015,62,1
3,18,2015,29,1
3,17,2015,17,1
3,16,2015,87,1
3,15,2015,73,1
3,14,2015,72,1
3,13,2015,51,1
3,12,2015,01,1
3,11,2015,66,1
3,10,2015,05,1
3,09,2015,22,1
3,08,2015,38,1
3,07,2015,23,1
3,06,2015,13,1
3,05,2015,30,1
3,04,2015,01,1
3,03,2015,97,1
3,02,2015,95,1
3,01,2015,49,1
2,28,2015,45,1
2,27,2015,48,1
2,26,2015,25,1
2,25,2015,40,1
2,24,2015,71,1
2,23,2015,92,1
2,22,2015,27,1
2,21,2015,25,1
2,20,2015,26,1
2,19,2015,18,1
2,18,2015,99,1
2,17,2015,89,1
2,16,2015,27,1
2,15,2015,12,1
2,14,2015,17,1
2,13,2015,23,1
2,12,2015,38,1
2,11,2015,45,1
2,10,2015,99,1
2,09,2015,58,1
2,08,2015,64,1
2,07,2015,99,1
2,06,2015,11,1
2,05,2015,02,1
2,04,2015,77,1
